id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
3zwUjrTsBiVRuQ3S0c8BJp,0.709,0.528,-11.127,0.0407,0.896,0.128,0.113,124.027,10
28aP3PxAq6xXQmsJ9ie6tj,0.808,0.385,-11.963,0.0468,0.468,0.0711,0.135,123.999,10
6fCjHbR0xpQKOJPdNjq6wk,0.736,0.542,-11.084,0.0353,0.874,0.108,0.204,121.996,10
18mfe5YtwXeqhbuSABYVCK,0.89,0.443,-8.654,0.0497,0.385,0.369,0.199,122.002,10
3CT1nhEnqol4rHIdwD7Rr7,0.543,0.676,-6.431,0.053,0.0,0.301,0.166,143.887,17
5JSp2VRn86bVldslj2iAxC,0.623,0.681,-3.742,0.111,0.0,0.109,0.303,125.962,17
1PPtUUgDpkk36XYbrJyYgF,0.762,0.854,-5.531,0.0738,0.000114,0.217,0.0902,117.012,17
7vvkVBj03GaS4soeeeec9R,0.498,0.714,-8.361,0.129,0.000763,0.079,0.561,78.33,0
1L3eWOPIr3QP5yRXpYXLao,0.656,0.75,-5.895,0.191,0.0,0.123,0.421,127.043,17
782KV25GNO64NRMonx54Xd,0.685,0.69,-5.404,0.226,0.0,0.0731,0.624,143.859,3
2jeXJXHMiiCZMglFIF439D,0.692,0.8,-5.338,0.288,0.00298,0.132,0.608,82.121,25
6AqRfGO77MXdT1AU2clgF3,0.744,0.689,-6.889,0.144,8.65e-06,0.102,0.739,143.99,3
2JGloz8S7kkUi57c892mnv,0.789,0.722,-4.41,0.115,0.0699,0.104,0.498,96.368,25
6fNhZRFEkBfgW39W3wKARJ,0.679,0.715,-6.383,0.0407,0.0,0.271,0.571,127.435,7
3aO4GaEhtu1UanIGKefdD3,0.583,0.778,-6.578,0.0459,1.23e-06,0.0753,0.673,134.945,3
4Nip6oiJU24LqcUEi7u19S,0.825,0.76,-6.591,0.188,0.0,0.155,0.876,89.003,7
3D11CmHetxApVv2iNWcEg3,0.693,0.721,-6.557,0.0353,0.0,0.141,0.941,125.003,7
5N4erncE7kuUccm7zEmwzk,0.588,0.67,-6.439,0.0473,3.33e-06,0.338,0.505,118.159,9
4o1hgRrpSiuxkHUBuXALDZ,0.43,0.699,-5.892,0.143,0.093,0.123,0.473,76.854,13
