id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
2Yv2mHzr5AQavVdwQjEokV,0.677,0.33,-11.198,0.149,0.000871,0.064,0.336,68.985,18
3eekarcy7kvN4yt5ZFzltW,0.598,0.427,-8.764,0.0317,5.83e-06,0.21,0.0605,76.469,22
6wyzB1FsBzRpGSyXRoTxt1,0.702,0.844,-4.375,0.358,0.0,0.194,0.511,119.269,25
08mnG0RH3PgAfCiDgAaVVQ,0.677,0.665,-9.832,0.284,0.0,0.128,0.466,96.897,25
3R1k8P1MrDdLSRhlTaaWAS,0.593,0.73,-4.638,0.159,0.000156,0.715,0.377,133.879,16
3qDTOWB81zbR5R2CbnthyP,0.849,0.348,-10.34,0.132,0.00109,0.0871,0.288,130.001,17
2V2ulwummLq5B1NlqNyBMy,0.469,0.733,-8.9,0.175,0.0181,0.369,0.542,173.938,24
3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,-4.457,0.0786,0.0,0.0862,0.847,146.078,3
3AYcyxEACnmE6d96RPubID,0.781,0.526,-6.985,0.293,0.0,0.0457,0.662,94.992,25
2wUKJRy95zmJRYxxWvw535,0.757,0.58,-6.339,0.0723,0.00264,0.128,0.508,157.017,17
7Cd0hkLaLvICYCLZAjmdEa,0.723,0.865,-4.78,0.242,0.0,0.232,0.863,86.846,7
7aB9V1AfdHhdONxii7njJ9,0.611,0.568,-6.142,0.032,0.0,0.117,0.567,95.546,0
0AeTLxk6f9hvsC9MSTPQwe,0.6,0.358,-12.136,0.301,1.34e-06,0.13,0.334,111.64,18
00i2HU7TEzzftShjRrDSEF,0.865,0.657,-6.722,0.076,0.0,0.14,0.316,111.115,25
6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,-4.209,0.0465,0.0,0.335,0.557,95.39,13
2HpDcssMlgQXfmAUYhePIP,0.619,0.654,-8.541,0.0425,0.00332,0.0604,0.726,80.0,0
7mrWTjhYctgEQb0lJKrVWy,0.88,0.607,-7.067,0.0777,0.0537,0.15,0.823,126.039,7
4hKL6wIydYvgQRvx55WOwG,0.736,0.921,-4.91,0.238,0.0,0.301,0.702,105.056,25
3UE1ojFN1y0GybCNSyKGdK,0.652,0.585,-5.856,0.0523,0.000417,0.138,0.176,176.025,17
1WWPdt2YcELa0rnmW2AjjT,0.663,0.493,-13.783,0.037,0.604,0.0906,0.603,126.007,15
67UOlZLz6tDEDuScefmWDd,0.506,0.563,-9.274,0.0535,0.593,0.149,0.0753,119.993,10
0Jh40A8WJdGXwkEDgxhaKo,0.758,0.814,-4.911,0.0419,0.000274,0.104,0.302,105.03,17
31L9yLXSj6LpCFupyMV6CR,0.479,0.717,-5.459,0.0605,0.000333,0.102,0.253,163.989,24
7vptmeNwSEVkcwDdqk7UQO,0.762,0.503,-9.397,0.0308,0.17,0.115,0.558,96.999,0
0pRyOQjr12h9RBEFmhbTQc,0.428,0.98,-2.975,0.443,0.0,0.127,0.423,92.035,13
2W3EgJst61RLZtPPm3EQim,0.563,0.44,-11.943,0.0822,0.683,0.269,0.213,120.009,10
5IvFgLGsq0LeEf09FuYfA2,0.601,0.695,-7.407,0.403,0.0,0.104,0.424,74.638,25
68UiApRTyu4Trb5kwMgCd2,0.507,0.615,-10.687,0.148,0.521,0.115,0.142,122.89,10
2zSK9gtYbGNtC4pvLyNPyD,0.624,0.646,-9.0,0.0399,0.898,0.0979,0.291,126.004,10
6OyEbGSnML69TiPCQf4ATK,0.718,0.656,-9.752,0.0417,0.806,0.0915,0.466,124.007,10
6KIKRz9eSTXdNsGUnomdtW,0.834,0.878,-9.484,0.15,0.0,0.334,0.418,102.848,25
2XC3ZrY1UPHPlwFv7vcBPt,0.643,0.85,-6.386,0.0513,0.0199,0.229,0.576,120.041,13
6J3HNhDBIwEX11bX8hzx5u,0.546,0.696,-6.537,0.0335,1.84e-05,0.195,0.596,89.882,0
1FreAz1lmnDi5aKLB6GdFM,0.835,0.687,-3.18,0.184,0.0,0.132,0.828,94.059,7
4oWDaJpusSH1lqIQQkEHsS,0.609,0.74,-11.046,0.0342,0.749,0.113,0.0391,122.008,10
0AQHfKjzky28rf5ytfBANJ,0.662,0.628,-8.502,0.0251,0.0776,0.128,0.588,102.319,0
